Transaction Date,Post Date,Description,Category,Type,Amount,Memo
6/13/2022,6/15/2022,BLIND VENDORS OHANA-S,Shopping,Sale,-8.98,
6/15/2022,6/15/2022,LEVELUPSWEETGREEN0755,Food & Drink,Sale,-37.31,
6/13/2022,6/14/2022,PAY*MAUI BREWING WAIKI,Food & Drink,Sale,-80.86,
6/12/2022,6/14/2022,AIM WAIKIKI 0107345100,Gas,Sale,-47.77,
6/12/2022,6/14/2022,SSA PEARL HARBOR HISTORIC,Shopping,Sale,-47.06,
6/12/2022,6/14/2022,HAWAIIAN ISLAND X-TREME,Food & Drink,Sale,-10.4,
6/13/2022,6/14/2022,HAWAIIAN AI 1732600155303,Travel,Sale,-30,
6/12/2022,6/14/2022,1011PEPSIVEN9147678600,Food & Drink,Sale,-3.1,
6/12/2022,6/13/2022,SUZIE WONGS HIDEAWAY,Food & Drink,Sale,-33.6,
6/11/2022,6/13/2022,1056PEPSIVEN9147678600,Food & Drink,Sale,-3.5,
6/12/2022,6/13/2022,IRISH ROSE SALOON,Food & Drink,Sale,-17.22,
6/12/2022,6/13/2022,SQ *COFFEE TALK INC.,Food & Drink,Sale,-35.71,
6/11/2022,6/12/2022,HILO LUNCH SHOP INC,Food & Drink,Sale,-24.76,
6/10/2022,6/12/2022,SUGAR COAST CANDY,Food & Drink,Sale,-16.61,
6/10/2022,6/12/2022,HELE KAUMANA,Gas,Sale,-10.36,
6/9/2022,6/12/2022,IGM WAIKOLOA #77,Groceries,Sale,-69.51,
6/10/2022,6/12/2022,SQ *POHINA PRODUCTS LLC,Shopping,Sale,-5.76,
6/10/2022,6/12/2022,SQ *RABAHA,Shopping,Sale,-20.94,
6/6/2022,6/8/2022,KTA SUPER STORES 08,Groceries,Sale,-57.35,
6/5/2022,6/8/2022,THE FISH AND THE HOG,Food & Drink,Sale,-321.7,
6/5/2022,6/7/2022,THE WESTIN   BEACH RESORT,Food & Drink,Sale,-70,
6/5/2022,6/6/2022,FOODLAND FARMS MAUNA LANI,Groceries,Sale,-99.58,
6/4/2022,6/6/2022,WAIMEA FOODLAND #38,Groceries,Sale,-43.96,
6/3/2022,6/5/2022,LAX UNIVISION,Shopping,Sale,-30.13,
6/4/2022,6/5/2022,SQ *OLA BREW CO.,Food & Drink,Sale,-81.26,
6/4/2022,6/5/2022,Amazon.com*7A2G11PR3,Shopping,Sale,-20.93,
6/3/2022,6/5/2022,DUNKIN #308352 Q35,Food & Drink,Sale,-11.53,
6/4/2022,6/5/2022,PP*AKAKA FALLS JAMS,Food & Drink,Sale,-28,
6/3/2022,6/5/2022,BARNEYS BEANERY,Food & Drink,Sale,-70,
6/3/2022,6/5/2022,GOGO   *INFLIGHTWIFI,Bills & Utilities,Sale,-11,
6/1/2022,6/2/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-5.94,
6/1/2022,6/2/2022,AMZN Mktp US*AP16R5IA3,Shopping,Sale,-19.1,
6/1/2022,6/2/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-29.39,
5/31/2022,6/1/2022,TJ MAXX #814,Shopping,Sale,-32.47,
5/31/2022,6/1/2022,SQ *THINKING CUP HANOVER,Groceries,Sale,-5.44,
5/31/2022,6/1/2022,GOING BANANAS,Groceries,Sale,-3.99,
5/31/2022,6/1/2022,CHIPOTLE 1653,Food & Drink,Sale,-20.33,
5/29/2022,5/30/2022,CVS/PHARMACY #00272,Health & Wellness,Sale,-65.05,
5/29/2022,5/30/2022,AMZN Mktp US*1R63K7WT0,Shopping,Sale,-25.18,
5/28/2022,5/30/2022,TUCKS CANDY FACTORY INC,Food & Drink,Sale,-7.75,
5/28/2022,5/30/2022,EXXONMOBIL    98807175,Gas,Sale,-55.91,
5/28/2022,5/30/2022,CRACKERJACKS-WHISTLESTOP,Groceries,Sale,-8.23,
5/28/2022,5/30/2022,HOWARD BLACKBURN,Food & Drink,Sale,-91,
5/28/2022,5/29/2022,Amazon.com*1R2N03IL2,Shopping,Sale,-53.07,
5/27/2022,5/29/2022,MARKET BASKET 00000612,Groceries,Sale,-119.84,
5/26/2022,5/29/2022,THE HUB- MOMOSAN BY MO,Food & Drink,Sale,-15.84,
5/26/2022,5/29/2022,THE HUB-SAUCE BURGERS,Food & Drink,Sale,-23.69,
5/28/2022,5/29/2022,SQ *THE ICE CREAM STORE,Food & Drink,Sale,-7.78,
5/28/2022,5/29/2022,WALGREENS #17472,Health & Wellness,Sale,-11.76,
5/26/2022,5/27/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-3.28,
5/26/2022,5/27/2022,DUNKIN #345299 Q35,Food & Drink,Sale,-5.02,
5/26/2022,5/27/2022,MBTA MTICKET,Travel,Sale,-4.8,
5/25/2022,5/27/2022,CAFFE DELLO SPORT,Food & Drink,Sale,-32,
5/25/2022,5/27/2022,CAFFE DELLO SPORT,Food & Drink,Sale,-32.09,
5/25/2022,5/27/2022,7077 PLANET FITNESS,Health & Wellness,Sale,-19.9,
5/26/2022,5/27/2022,MBTA MTICKET,Travel,Sale,-24.5,
5/25/2022,5/26/2022,GOING BANANAS,Groceries,Sale,-25.52,
5/25/2022,5/26/2022,AMZN Mktp US*1R0WX3QA2,Shopping,Sale,-34.99,
5/23/2022,5/25/2022,SAVERS - 1211,Shopping,Sale,-107.39,
5/24/2022,5/25/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-21.83,
5/24/2022,5/24/2022,Payment Thank You Bill Pa,,Payment,840,
5/24/2022,5/24/2022,BH* BETTERHELP,Health & Wellness,Sale,-260,
5/23/2022,5/24/2022,MCDONALD'S F18006,Food & Drink,Sale,-14.19,
5/22/2022,5/24/2022,SCHOONER`S MARKET,Groceries,Sale,-3,
5/20/2022,5/23/2022,THE WILD DUCK,Food & Drink,Sale,-9.98,
5/20/2022,5/23/2022,THE POINT,Food & Drink,Sale,-28.99,
5/22/2022,5/23/2022,DRIZLY  INC.,Shopping,Sale,-7.05,
5/22/2022,5/23/2022,GRAMERCY WINE COUNTRY  IN,Food & Drink,Sale,-60.53,
5/22/2022,5/23/2022,JIMS BAGEL &amp; BAKE SHOPPE,Food & Drink,Sale,-53.39,
5/21/2022,5/23/2022,EXXONMOBIL    97442511,Gas,Sale,-54.49,
5/22/2022,5/23/2022,WOODMANS OF ESSEX,Food & Drink,Sale,-145.32,
5/20/2022,5/22/2022,TST* Monicas Mercato,Food & Drink,Sale,-16.49,
5/20/2022,5/22/2022,STAPLES       00100636,Shopping,Sale,-21.24,
5/20/2022,5/22/2022,GOING BANANAS,Groceries,Sale,-21.26,
5/20/2022,5/22/2022,SQ *BAGEL GUILD,Food & Drink,Sale,-19.08,
5/19/2022,5/20/2022,MBTA MTICKET,Travel,Sale,-24.5,
5/19/2022,5/20/2022,Amazon.com*1L7KF4KN2,Shopping,Sale,-23.1,
5/19/2022,5/20/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-7.95,
5/19/2022,5/20/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-4.08,
5/18/2022,5/20/2022,STARBUCKS STORE 07338,Food & Drink,Sale,-5.08,
5/19/2022,5/20/2022,AMZN Mktp US*1L3E66242,Shopping,Sale,-6.73,
5/18/2022,5/19/2022,TURO INC.* TRIP JUN 12,Travel,Sale,-194.18,
5/17/2022,5/19/2022,THE WILD DUCK,Food & Drink,Sale,-9.99,
5/18/2022,5/19/2022,DUNKIN #332761 Q35,Food & Drink,Sale,-3.8,
5/18/2022,5/19/2022,DUNKIN #332761 Q35,Food & Drink,Sale,-0.53,
5/18/2022,5/19/2022,SQ *POKE BY LOVE ART NORT,Food & Drink,Sale,-40.44,
5/17/2022,5/18/2022,AMZN Mktp US*1L4DF3HE2,Shopping,Sale,-12.94,
5/17/2022,5/18/2022,GOING BANANAS,Groceries,Sale,-14.97,
5/17/2022,5/18/2022,MBTA HAYMARKET,Travel,Sale,-9.6,
5/17/2022,5/17/2022,Payment Thank You Bill Pa,,Payment,3000,
5/15/2022,5/17/2022,THE WILD DUCK,Food & Drink,Sale,-29.48,
5/16/2022,5/17/2022,GOING BANANAS,Groceries,Sale,-14.28,
5/16/2022,5/17/2022,FH* OCEAN ENCOUNTERS,Entertainment,Sale,-463.94,
5/15/2022,5/17/2022,CAFFE DELLO SPORT,Food & Drink,Sale,-26.65,
5/14/2022,5/16/2022,FIVE GUYS MA 1629 QSR,Food & Drink,Sale,-32.42,
5/12/2022,5/15/2022,EXXONMOBIL    99319659,Gas,Sale,-5.09,
5/13/2022,5/15/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-11.1,
5/12/2022,5/13/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-3.6,
5/11/2022,5/12/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-12.35,
5/11/2022,5/12/2022,AMZN Mktp US*1L1FY2KT1,Shopping,Sale,-29.7,
5/10/2022,5/11/2022,GOING BANANAS,Groceries,Sale,-5.66,
5/10/2022,5/11/2022,GOING BANANAS,Groceries,Sale,-2.99,
5/8/2022,5/10/2022,BAR TACO FORT POINT,Food & Drink,Sale,-60,
5/9/2022,5/10/2022,GOING BANANAS,Groceries,Sale,-3.99,
5/7/2022,5/9/2022,2657 AMC BAR BOSTON COMM,Food & Drink,Sale,-29.16,
5/8/2022,5/9/2022,TRADER JOE'S #566 QPS,Groceries,Sale,-144.59,
5/7/2022,5/8/2022,TST* NORTH STREET GRILLE,Food & Drink,Sale,-96.17,
5/7/2022,5/8/2022,BAM BAM MARKET CN5,Groceries,Sale,-3.13,
5/5/2022,5/8/2022,SUNNY`S WESTHEIMER INC,Gas,Sale,-16.64,
5/7/2022,5/8/2022,DUNKIN #340052 Q35,Food & Drink,Sale,-10.78,
5/7/2022,5/8/2022,BAM BAM CN5,Food & Drink,Sale,-20.83,
5/6/2022,5/8/2022,CREATIVE MOBIL10510014,Travel,Sale,-23.35,
5/4/2022,5/6/2022,UA INFLT    0169989156708,Travel,Sale,-8,
5/4/2022,5/5/2022,HUDSON ST1891,Shopping,Sale,-6.88,
5/4/2022,5/5/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-6,
5/2/2022,5/4/2022,YPS*LEI HAWAII REAL,Travel,Sale,-616.94,
5/2/2022,5/4/2022,YPS*LEI HAWAII REAL,Travel,Sale,-300,
5/3/2022,5/4/2022,GOING BANANAS,Groceries,Sale,-6.47,
5/3/2022,5/4/2022,GOING BANANAS,Groceries,Sale,-4.49,
5/3/2022,5/4/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-10.5,
5/2/2022,5/3/2022,TST* FELIPE'S TAQUERIA,Food & Drink,Sale,-12.8,
5/3/2022,5/3/2022,CHIPOTLE ONLINE,Food & Drink,Sale,-37.56,
5/1/2022,5/3/2022,PAR*LIFE ALIVE CAFE,Food & Drink,Sale,-35.5,
5/1/2022,5/2/2022,CARDULLOS GOURMET SHOP,Groceries,Sale,-49.94,
5/2/2022,5/2/2022,Vrbo Fee,Travel,Sale,-72,
5/1/2022,5/2/2022,SQ *CICADA COFFEE BAR,Food & Drink,Sale,-11.63,
4/30/2022,5/1/2022,CUMBERLAND FARMS 6,Gas,Sale,-30,
4/29/2022,5/1/2022,GOING BANANAS,Groceries,Sale,-9.08,
4/30/2022,5/1/2022,THE 1761 OLD MILL,Food & Drink,Sale,-57,
4/28/2022,4/29/2022,GOING BANANAS,Groceries,Sale,-18.4,
4/27/2022,4/27/2022,ICI*FEE BOSTON WEB PMT,Bills & Utilities,Sale,-1,
4/26/2022,4/27/2022,GOING BANANAS,Groceries,Sale,-15.97,
4/27/2022,4/27/2022,AMZN Mktp US*1O8Q22U90,Shopping,Sale,-12.74,
4/27/2022,4/27/2022,AMZN Mktp US*1O5VP4UF0,Shopping,Sale,-10.06,
4/27/2022,4/27/2022,CITY OF BOSTON PERMIT,Bills & Utilities,Sale,-25,
4/24/2022,4/26/2022,STAR MARKET #3696,Groceries,Sale,-160.69,
4/24/2022,4/26/2022,PAULI'S,Food & Drink,Sale,-17.1,
4/22/2022,4/25/2022,THE WILD DUCK,Food & Drink,Sale,-14.99,
4/23/2022,4/24/2022,TST* THE BEEHIVE,Food & Drink,Sale,-85,
4/23/2022,4/24/2022,AMZN Mktp US*1O0PK9142,Shopping,Sale,-7.43,
4/22/2022,4/24/2022,GOING BANANAS,Groceries,Sale,-11.15,
4/22/2022,4/24/2022,SQ *POKE BY LOVE ART NORT,Food & Drink,Sale,-35.19,
4/21/2022,4/24/2022,PAULI'S,Food & Drink,Sale,-11.76,
4/21/2022,4/24/2022,THE PUBLICK HOUSE,Food & Drink,Sale,-55.01,
4/21/2022,4/22/2022,GOING BANANAS,Groceries,Sale,-7.27,
4/21/2022,4/22/2022,SQ *THINKING CUP HANOVER,Groceries,Sale,-11.75,
4/21/2022,4/22/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-24.95,
4/21/2022,4/21/2022,Offer:Five Guys Famous,Fees & Adjustments,Adjustment,3,
4/19/2022,4/21/2022,BABSON ACTIVEDATA,Education,Sale,-10,
4/20/2022,4/21/2022,GOING BANANAS,Groceries,Sale,-17.74,
4/20/2022,4/21/2022,GOING BANANAS,Groceries,Sale,-10.57,
4/20/2022,4/20/2022,Offer:Turbo Tax,Fees & Adjustments,Adjustment,5,
4/19/2022,4/20/2022,GOING BANANAS,Groceries,Sale,-19.19,
4/19/2022,4/19/2022,Payment Thank You Bill Pa,,Payment,2000,
4/16/2022,4/18/2022,THE WILD DUCK,Food & Drink,Sale,-15.99,
4/17/2022,4/18/2022,FIVE GUYS MA 1268 ECOMM,Food & Drink,Sale,-47.76,
4/17/2022,4/18/2022,WEGMANS MEDFORD #134,Groceries,Sale,-17.66,
4/15/2022,4/18/2022,HURRICANES AT THE GARD,Food & Drink,Sale,-18,
4/14/2022,4/17/2022,UNITED      0162406385877,Travel,Sale,-179.7,
4/15/2022,4/17/2022,NORTHEND FISH SUSHI,Food & Drink,Sale,-36.04,
4/15/2022,4/17/2022,INTUIT *TURBOTAX,Shopping,Sale,-198.68,
4/13/2022,4/15/2022,THE WILD DUCK,Food & Drink,Sale,-14.99,
4/14/2022,4/15/2022,TST* MONICA S MERCATO,Food & Drink,Sale,-36.38,
4/13/2022,4/14/2022,GOING BANANAS,Groceries,Sale,-59.08,
4/12/2022,4/13/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-5.7,
4/11/2022,4/13/2022,EXXONMOBIL    99319659,Gas,Sale,-1.59,
4/11/2022,4/12/2022,CREATIVE MOBIL10510014,Travel,Sale,-21.95,
4/11/2022,4/12/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-10.27,
4/11/2022,4/12/2022,CNP LOVE SHACK E12 DFW,Food & Drink,Sale,-15.85,
4/10/2022,4/11/2022,CVS/PHARMACY #07453,Health & Wellness,Sale,-38.94,
4/9/2022,4/10/2022,WAL-MART #2926,Groceries,Sale,-37.82,
4/8/2022,4/10/2022,MARKET STREET 566,Groceries,Sale,-87.39,
4/7/2022,4/10/2022,DELTA AIR   0062310752894,Travel,Sale,-409.5,
4/7/2022,4/10/2022,DELTA AIR   0062310752893,Travel,Sale,-358.5,
4/7/2022,4/10/2022,LOCKHART SMOKEHOUSE -,Food & Drink,Sale,-22,
4/9/2022,4/10/2022,WHATABURGER 743    Q26,Food & Drink,Sale,-18.62,
4/9/2022,4/10/2022,TST* MAYER'S GARDEN,Food & Drink,Sale,-50.68,
4/7/2022,4/8/2022,TST* NOTHING BUNDT CAKES,Food & Drink,Sale,-4.75,
4/6/2022,4/7/2022,MARKET STREET 566,Groceries,Sale,-37.83,
4/5/2022,4/5/2022,Payment Thank You Bill Pa,,Payment,304,
4/5/2022,4/5/2022,Payment Thank You Bill Pa,,Payment,2000,
4/3/2022,4/5/2022,ARCHER PAPER GOODS,Shopping,Sale,-8.67,
4/3/2022,4/5/2022,Deep Ellum Arts Festival,Entertainment,Sale,-17.4,
4/3/2022,4/4/2022,CVS/PHARMACY #07453,Health & Wellness,Sale,-13.49,
4/3/2022,4/4/2022,027 TORCHYS PLANO,Food & Drink,Sale,-48.04,
4/3/2022,4/4/2022,SQ *KATE MORGAN COLLAGE A,Professional Services,Sale,-81.21,
4/4/2022,4/4/2022,BH* BETTERHELP,Health & Wellness,Sale,-260,
4/3/2022,4/4/2022,TST* TATTE BAKERY - ONE B,Food & Drink,Sale,-47.44,
4/1/2022,4/3/2022,LANDMARK NEWS AND CONVENI,Groceries,Sale,-6.08,
4/1/2022,4/3/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-9.33,
4/2/2022,4/3/2022,SQ *SP PLUS CORPORATION,Travel,Sale,-36,
3/31/2022,4/3/2022,EXXONMOBIL    47929096,Gas,Sale,-8,
4/1/2022,4/1/2022,Offer:Shake Shack (New,Fees & Adjustments,Adjustment,1.26,
3/31/2022,4/1/2022,DUNKIN #345299 Q35,Food & Drink,Sale,-8.54,
3/30/2022,4/1/2022,VENICE CONVENIENCE,Groceries,Sale,-4.65,
3/31/2022,4/1/2022,GULF OIL 92041044,Gas,Sale,-40.11,
3/30/2022,3/31/2022,MBTA GOVT CENTER,Travel,Sale,-9.6,
3/30/2022,3/30/2022,Offer:Starbucks,Fees & Adjustments,Adjustment,1.21,
3/29/2022,3/30/2022,TST* ROOTASTES - BOSTON,Food & Drink,Sale,-30.48,
3/29/2022,3/30/2022,DUNKIN #332761 Q35,Food & Drink,Sale,-5.35,
3/29/2022,3/30/2022,TST* GEORGE HOWELL COFFEE,Food & Drink,Sale,-10.04,
3/28/2022,3/29/2022,SQ *SHAKE SHACK,Food & Drink,Sale,-12.6,
3/29/2022,3/29/2022,Amazon.com*167PO24N2,Shopping,Sale,-7.69,
3/27/2022,3/28/2022,GOING BANANAS,Groceries,Sale,-18.13,
3/26/2022,3/28/2022,CHICK-FIL-A #04205,Food & Drink,Sale,-28.13,
3/26/2022,3/28/2022,VENICE BEACH HOSTEL,Travel,Return,100,
3/27/2022,3/28/2022,SQ *LEVEND BAGELRY,Food & Drink,Sale,-11.7,
3/25/2022,3/27/2022,CAFE COLLAGE,Food & Drink,Sale,-8,
3/24/2022,3/27/2022,CAFE COLLAGE,Food & Drink,Sale,-6.3,
3/25/2022,3/27/2022,UA INFLT    0169980400073,Travel,Sale,-8,
3/25/2022,3/27/2022,LAX AIRP ENGINE CO 28,Food & Drink,Sale,-5.14,
3/25/2022,3/27/2022,THE UPS STORE 5581,Personal,Sale,-30.62,
3/24/2022,3/27/2022,UNITED      0162402245896,Travel,Sale,-9,
3/25/2022,3/27/2022,DULLES GOURMET MARKET,Food & Drink,Sale,-22.67,
3/24/2022,3/27/2022,STARBUCKS STORE 54500,Food & Drink,Sale,-24.2,
3/25/2022,3/25/2022,LIM*RIDE COST,Travel,Sale,-5.28,
3/24/2022,3/25/2022,USPS.COM CLICKNSHIP,Shopping,Sale,-27.5,
3/23/2022,3/25/2022,SWEETFIN VENICE,Food & Drink,Sale,-17.57,
3/23/2022,3/25/2022,CAFE COLLAGE,Food & Drink,Sale,-5.25,
3/23/2022,3/25/2022,VENICE BEACH MART,Groceries,Sale,-4.69,
3/23/2022,3/25/2022,VENICE BEACH MART,Groceries,Sale,-4.19,
3/22/2022,3/24/2022,CAFE COLLAGE,Food & Drink,Sale,-21.19,
3/22/2022,3/24/2022,AZABU SUSHI BAR &amp; GRILL,Food & Drink,Sale,-27.54,
3/24/2022,3/24/2022,LIM*RIDE COST,Travel,Sale,-17.25,
3/21/2022,3/23/2022,UA INFLT    0169979373781,Travel,Sale,-8,
3/21/2022,3/23/2022,VENICE BEACH HOSTEL,Travel,Sale,-559,
3/21/2022,3/23/2022,VENICE BEACH MART,Groceries,Sale,-9.69,
3/22/2022,3/23/2022,VENICE BEACH MART,Groceries,Sale,-2.5,
3/22/2022,3/23/2022,SQ *MENOTTI'S VENICE BEAC,Food & Drink,Sale,-6,
3/22/2022,3/23/2022,LIM*RIDE COST,Travel,Sale,-5.28,
3/22/2022,3/23/2022,ORIGINAL TEDDYS RED TACO,Food & Drink,Sale,-13.75,
3/20/2022,3/22/2022,CITY SMOKE SHOP,Groceries,Sale,-31.74,
3/21/2022,3/22/2022,DUNKIN #341135 Q35,Food & Drink,Sale,-12.94,
3/21/2022,3/22/2022,ORIGINAL TEDDYS RED TACO,Food & Drink,Sale,-10.91,
3/19/2022,3/21/2022,CLARKE'S,Food & Drink,Sale,-48,
3/20/2022,3/21/2022,GOING BANANAS,Groceries,Sale,-3.99,
3/18/2022,3/21/2022,PAULI'S,Food & Drink,Sale,-18.69,
3/19/2022,3/21/2022,THE WILD DUCK,Food & Drink,Sale,-22.2,
3/20/2022,3/21/2022,PRIMARK DWNTWN CROSSING,Shopping,Sale,-26.38,
3/20/2022,3/21/2022,FOOD OPERA,Food & Drink,Sale,-44,
3/18/2022,3/20/2022,UNITED      0162401163331,Travel,Sale,-10,
3/18/2022,3/20/2022,UNITED      0162401084014,Travel,Sale,-653.2,
3/18/2022,3/20/2022,GOING BANANAS,Groceries,Sale,-5.99,
3/18/2022,3/20/2022,DELTA AIR   0062305721549,Travel,Sale,-248.6,
3/17/2022,3/20/2022,ERNESTO'S PIZZA,Food & Drink,Sale,-22.68,
3/17/2022,3/20/2022,THE WILD DUCK,Food & Drink,Sale,-37.99,
3/17/2022,3/18/2022,GOING BANANAS,Groceries,Sale,-9.98,
3/16/2022,3/18/2022,GRAINNE O'MALLEY'S TAVERN,Food & Drink,Sale,-8.72,
3/17/2022,3/18/2022,WALGREENS #15390,Health & Wellness,Sale,-29.98,
3/17/2022,3/18/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-10.5,
3/16/2022,3/16/2022,Payment Thank You Bill Pa,,Payment,1420,
3/15/2022,3/16/2022,GOING BANANAS,Groceries,Sale,-19.96,
3/14/2022,3/15/2022,WARBY PARKER,Health & Wellness,Sale,-145,
3/13/2022,3/15/2022,THE HUB- MOMOSAN BY MO,Food & Drink,Sale,-41.24,
3/14/2022,3/15/2022,GBM RESEARCH ORG.,Shopping,Sale,-20,
3/13/2022,3/15/2022,STAR MARKET #3696,Groceries,Sale,-166.35,
3/13/2022,3/15/2022,THE WILD DUCK,Food & Drink,Sale,-13.99,
3/13/2022,3/15/2022,SOUTHWES    5261494802388,Travel,Sale,-118.98,
3/13/2022,3/15/2022,STAR MARKET #3696,Groceries,Return,27.28,
3/11/2022,3/14/2022,THE WILD DUCK,Food & Drink,Sale,-16.99,
3/12/2022,3/14/2022,RABIAS DOLCE FUMO,Food & Drink,Sale,-37.23,
3/11/2022,3/14/2022,CAFFE DELLO SPORT,Food & Drink,Sale,-50.57,
3/14/2022,3/14/2022,AMERICAN AIR0012413056468,Travel,Sale,-103.6,
3/13/2022,3/14/2022,DUNKIN #343071 Q35,Food & Drink,Sale,-13.23,
3/11/2022,3/13/2022,DUNKIN #345299 Q35,Food & Drink,Sale,-1.07,
3/10/2022,3/11/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-4.87,
3/8/2022,3/9/2022,DUNKIN #345299 Q35,Food & Drink,Sale,-3.52,
3/7/2022,3/8/2022,DUNKIN #345299 Q35,Food & Drink,Sale,-12.49,
3/7/2022,3/7/2022,Payment Thank You Bill Pa,,Payment,1600,
3/6/2022,3/7/2022,GOING BANANAS,Groceries,Sale,-16.93,
3/6/2022,3/7/2022,MCDONALD'S F31643,Food & Drink,Sale,-8.31,
3/6/2022,3/7/2022,2657 AMC BAR BOSTON COMM,Food & Drink,Sale,-19.88,
3/5/2022,3/7/2022,THE WILD DUCK,Food & Drink,Sale,-37.98,
3/5/2022,3/6/2022,GOING BANANAS,Groceries,Sale,-40.16,
3/5/2022,3/6/2022,TST* The Burren,Food & Drink,Sale,-54,
3/5/2022,3/6/2022,TST* CRYSTAL BALLROOM AT,Food & Drink,Sale,-25,
3/4/2022,3/6/2022,TST* The Burren,Food & Drink,Sale,-32.5,
3/4/2022,3/6/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-10.5,
3/3/2022,3/3/2022,AMZN Mktp US*1W42E9M31,Shopping,Sale,-35.01,
3/2/2022,3/3/2022,NORTHEND FISH SUSHI,Food & Drink,Sale,-48.34,
2/28/2022,3/2/2022,THE WILD DUCK,Food & Drink,Sale,-14.99,
3/1/2022,3/2/2022,GOING BANANAS,Groceries,Sale,-30.94,
2/28/2022,3/1/2022,WALL STREET PREP,Education,Sale,-39,
2/26/2022,2/28/2022,THE BLACK ROSE,Food & Drink,Sale,-34,
2/27/2022,2/28/2022,GOING BANANAS,Groceries,Sale,-26.03,
2/26/2022,2/28/2022,THE UPS STORE 4972,Personal,Sale,-10,
2/27/2022,2/28/2022,BOVA BAKERY,Food & Drink,Sale,-15,
2/26/2022,2/28/2022,ERNESTO'S PIZZA,Food & Drink,Sale,-14.87,
2/26/2022,2/28/2022,MOTHER ANNAS RESTAURAN,Food & Drink,Sale,-42.58,
2/25/2022,2/27/2022,SQ *THINKING CUP HANOVER,Groceries,Sale,-8.54,
2/26/2022,2/27/2022,DUNKIN #343071 Q35,Food & Drink,Sale,-15.59,
2/25/2022,2/27/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-29.08,
2/23/2022,2/24/2022,Amazon Tips*1I4KO9NA0,Shopping,Sale,-5,
2/23/2022,2/23/2022,Payment Thank You Bill Pa,,Payment,1000,
2/22/2022,2/23/2022,Amazon.com*1I4U67O90,Groceries,Sale,-71.26,
2/21/2022,2/23/2022,CREATIVE MOBIL10510014,Travel,Sale,-22.7,
2/20/2022,2/22/2022,VIRGIN HOTEL - POOL DE,Food & Drink,Sale,-115.26,
2/20/2022,2/22/2022,DONUT LOVERS,Food & Drink,Sale,-22.07,
2/20/2022,2/21/2022,LULA B'S ANTIQUE MALL,Shopping,Sale,-92.01,
2/19/2022,2/21/2022,PLANO SUPER BAR,Food & Drink,Sale,-42,
2/19/2022,2/21/2022,COURTYARD BY MARRIOTT,Travel,Sale,-15.14,
2/18/2022,2/20/2022,MARKET STREET 566,Groceries,Sale,-65.23,
2/19/2022,2/20/2022,CVS/PHARMACY #07453,Health & Wellness,Sale,-12.46,
2/19/2022,2/20/2022,TST* MAYER'S GARDEN,Food & Drink,Sale,-51.3,
2/17/2022,2/20/2022,KATY TRAIL ICE HOUSE OUTP,Food & Drink,Sale,-9.52,
2/17/2022,2/18/2022,WALGREENS #12907,Health & Wellness,Sale,-26.77,
2/15/2022,2/16/2022,TURO INC.* TRIP FEB 11,Travel,Return,500,
2/14/2022,2/15/2022,SQ *THINKING CUP HANOVER,Groceries,Sale,-8.76,
2/14/2022,2/15/2022,SQ *THINKING CUP HANOVER,Groceries,Sale,-10.91,
2/13/2022,2/15/2022,PLAYA CAFE,Food & Drink,Sale,-5.32,
2/14/2022,2/15/2022,CREATIVE MOBIL10510014,Travel,Sale,-20.5,
2/14/2022,2/15/2022,GOING BANANAS,Groceries,Sale,-10.98,
2/11/2022,2/14/2022,SOUTH BEACH FOOD MARKET &amp;,Groceries,Sale,-3.49,
2/13/2022,2/14/2022,ZTL*ONLY IPHONE REPAIRS,Shopping,Sale,-52,
2/12/2022,2/14/2022,FINNEGANS WAY,Food & Drink,Sale,-84,
2/12/2022,2/14/2022,SURF STYLE 1441,Shopping,Sale,-26.72,
2/13/2022,2/14/2022,KU VA RESTAURANT &amp; BAR,Food & Drink,Sale,-70,
2/12/2022,2/14/2022,YUCA 105,Food & Drink,Sale,-103,
2/13/2022,2/14/2022,CHARLOTTE BAKERY INC,Food & Drink,Sale,-7.87,
2/13/2022,2/14/2022,TST* QUEEN'S HOSPITALITY,Food & Drink,Sale,-47.45,
2/11/2022,2/13/2022,SQ *GATOR JOE'S COFFEE SH,Groceries,Sale,-14.82,
2/11/2022,2/13/2022,CURB SVC MIAMI,Travel,Sale,-40.25,
